13	260
18	360
22	450
26	540
35	740
39	840
44	930
51	1070
69	1450
78	1640
87	1840
96	2050
105	2160
119	2490
137	2810
191	3990
210	4320
246	5070
301	5940
337	6580
373	7120
391	7340
410	7660
428	7880
446	8200
482	8740
519	9280
564	9820
601	10150
637	10470
746	11340
782	11660
819	11980
892	12630
964	13170
1073	14140
1146	14680
