4	3	160	180
11	-1	230	250
16	-1	290	290
17	15	290	290
21	-1	390	400
22	-1	390	400
26	23	480	490
31	28	550	600
36	32	660	720
41	37	760	810
46	41	850	910
51	46	950	1000
61	55	1090	1180
71	64	1280	1370
81	73	1460	1480
91	82	-1	1660
101	91	-1	1840
121	-1	-1	2320
141	128	-1	2680
161	146	-1	3100
181	164	-1	3630
