0	1779	0	0
0	1358	378	0
1	2113	0	0
1	908	385	0
1	1358	1133	0
1	2176	1488	0
2	1358	0	0
2	2843	878	966
3	2333	16	16
3	3244	38	40
3	2129	53	57
3	2143	72	78
3	2359	89	96
3	4319	102	111
3	2000	118	128
3	2430	138	150
3	30	152	166
3	31	167	182
3	294	209	228
3	292	275	301
3	3729	305	334
3	290	327	358
3	4148	372	408
3	2849	404	443
3	2609	432	474
3	2591	458	502
3	291	479	525
3	2792	526	577
3	1785	551	605
3	934	596	654
3	1784	625	686
3	647	643	706
3	2656	677	743
3	921	695	763
3	3977	710	779
3	2065	731	803
3	2167	781	858
4	2373	1050	0
4	238	1235	0
4	1246	1468	0
4	1828	1644	0
4	539	1892	0
4	2917	2224	0
4	251	2523	0
4	2220	2819	0
4	389	3189	0
4	1591	3581	0
4	2788	3919	0
4	2159	4108	0
4	1116	4505	0
5	3987	0	0
5	739	176	0
5	1280	270	0
5	2420	358	0
5	2197	430	0
5	2026	773	0
5	2774	986	0
5	2165	1324	0
6	2197	430	0
6	3139	457	0
6	3976	497	0
6	2024	512	0
6	1948	578	0
6	4283	591	0
7	2116	37	41
7	3993	62	69
7	3352	89	98
7	1428	110	121
7	1834	139	153
7	2715	176	194
7	1918	211	232
7	254	232	256
7	35	296	326
7	2838	357	393
7	6	397	437
7	236	417	459
7	2697	441	485
7	1172	486	535
7	2098	859	945
7	3866	1056	1162
7	2307	1134	1248
7	730	1245	1370
7	4199	1325	1458
7	267	1364	1501
7	265	1414	1556
7	3104	1599	1759
7	4432	1619	1781
7	32	1728	1901
7	3349	1774	1952
7	3048	1800	1980
7	1440	1847	2032
7	3211	1874	2062
7	393	1896	2086
7	2518	1910	2101
7	3343	1983	2182
7	3582	2098	2308
7	3099	2168	2385
7	4130	2218	2440
7	4377	2296	2526
7	166	2377	2615
8	166	0	0
8	1100	14	15
8	3819	62	68
8	4137	87	95
8	1427	115	126
8	1617	169	186
8	3273	201	221
8	4272	258	284
8	2101	373	410
8	2852	419	461
8	3974	441	485
8	1475	492	541
8	1783	570	627
8	3938	653	718
8	1286	798	878
8	3583	870	957
8	3816	957	1052
8	3988	1039	1143
8	352	1104	1214
8	2012	1210	1331
8	1236	1349	1484
8	2717	1419	1561
8	3752	1491	1640
8	1523	1515	1666
8	2724	1588	1747
8	3378	1662	1828
9	112	0	0
9	113	18	20
9	2116	37	41
9	2924	93	102
9	1421	114	125
9	4003	147	162
9	3595	171	188
9	1431	202	222
9	4391	228	251
9	1933	284	312
9	4443	363	399
9	3453	414	455
9	1612	452	497
9	1396	502	552
9	2013	539	593
9	2052	583	641
9	2511	617	679
9	3917	645	710
9	3599	681	749
9	3432	726	799
9	2964	762	838
9	2985	802	882
9	3745	893	982
9	2553	912	1003
9	2587	933	1026
9	4002	956	1052
9	3581	983	1081
9	3256	1019	1121
9	4171	1050	1155
9	1001	1121	1233
9	2797	1179	1297
9	2665	1215	1337
9	1782	1247	1372
9	949	1293	1422
9	919	1356	1492
9	1826	1536	1690
9	2666	1619	1781
9	602	1703	1873
9	2695	1758	1934
9	3130	1780	1958
9	960	1837	2021
9	4195	1897	2087
9	4008	1916	2108
9	1202	1946	2141
9	3763	1994	2193
9	2068	2072	2279
9	2800	2159	2375
9	2737	2209	2430
9	1141	2309	2540
9	4282	2367	2604
9	3319	2450	2695
9	4018	2567	2824
9	4442	2594	2853
10	2102	58	0
10	3716	80	0
10	2145	109	0
10	1191	138	0
10	1429	218	0
10	2020	283	0
10	4124	305	0
10	712	330	0
10	1787	353	0
10	920	375	0
10	2580	410	0
10	3987	440	0
10	541	560	0
10	3140	624	0
11	3987	0	0
11	2162	26	0
12	2418	0	0
12	3399	72	0
12	70	137	0
12	4138	172	0
12	3536	207	0
12	126	266	0
12	1154	305	0
12	3153	352	0
12	3687	546	0
12	3135	609	0
